id,city,city_min_wage,building_area,land_area,bedroom,bathroom,kitchen,dining_room,living_room,storeroom,laundry,garage,carport,floor_count,cctv,ac,legality,negotiable,est_installment,price
16485326,jakarta utara,5067381,80,80,3,3,0,0,0,0,1,0,2,2.0,0,0,Lainnya,1,19978711,3100000000
16486095,jakarta timur,5067381,90,65,3,1,0,0,0,0,0,0,0,1.5,0,0,SHM,1,6444745,1000000000
16318584,jakarta selatan,5067381,400,515,5,4,0,0,0,0,1,2,2,2.0,1,1,SHM,1,99893556,15500000000
16479811,bandung,3868638,300,242,2,1,0,0,0,0,1,0,3,2.0,0,0,SHM,0,11922779,1850000000
16210388,tangerang selatan,4670791,173,136,4,3,0,0,0,0,0,1,1,1.0,0,0,SHM,1,11713424,15000000000
16280775,bandung,3868638,150,180,4,3,0,0,0,0,0,0,0,1.0,0,0,SHM,0,7437094,2000000000
16485757,jakarta barat,5067381,150,135,4,3,0,0,0,0,0,0,0,2.0,0,1,SHM,1,18367524,2850000000
16005796,bandung,3868638,196,290,4,3,0,0,0,0,1,1,0,1.0,0,1,SHM,0,35446100,5500000000
16485561,bandung,3868638,150,95,3,2,1,0,0,1,1,0,1,2.0,0,0,SHM,0,8345945,1290000000
15067619,bandung,3868638,240,197,7,3,0,0,0,0,1,0,2,2.0,0,0,SHM,1,12889491,2000000000
16049883,jakarta timur,5067381,63,90,5,2,0,0,0,0,0,0,2,2.0,0,0,SHM,1,9924908,1540000000
13202132,jakarta selatan,5067381,80,407,5,2,0,0,0,0,1,0,0,1.0,0,0,SHM,1,86359590,13400000000
15599059,bandung,3868638,70,94,3,1,0,0,0,0,1,0,1,1.0,0,0,SHM,1,5155796,800000000
16485496,serang,4354748,36,60,2,1,1,0,0,0,0,1,1,1.0,0,1,HGB,0,1069827,166000000
16485559,bekasi,5281346,220,112,3,3,0,0,0,1,0,0,0,1.0,0,1,SHM,0,7733694,1200000000
16475588,bandung,3868638,550,363,7,5,0,0,0,0,0,1,0,2.0,1,0,SHM,1,40279659,6250000000
16363305,bandung,3868638,102,90,3,2,1,0,0,0,1,0,1,1.0,0,1,SHM,1,4276329,15000000000
14463760,jakarta barat,5067381,110,45,3,3,0,0,0,0,0,0,1,3.0,0,0,SHM,1,6284345,69000000000
13250860,bandung,3868638,50,60,2,1,0,0,0,0,1,0,1,1.0,0,0,SHM,1,3544610,550000000
14421192,bekasi,5281346,240,131,5,4,0,0,0,0,1,0,1,3.0,0,1,SHM,1,4462257,2000000000
15244764,tangerang,4681138,410,330,5,4,1,0,0,1,0,4,0,2.0,0,0,SHM,1,16733462,5000000000
16086460,tangerang selatan,4670791,155,75,2,2,1,0,0,0,1,0,1,1.0,1,1,Lainnya,1,6135603,65000000000
16485893,surabaya,4725479,100,87,4,4,0,0,0,0,0,0,2,2.0,0,0,SHM,1,12245016,1900000000
16485818,bandung,3868638,110,111,3,2,0,0,0,0,0,1,1,1.0,0,0,SHM,0,7089220,1100000000
16485563,bandung,3868638,60,60,2,1,1,0,0,1,1,0,1,1.0,0,0,SHM,1,3544610,550000000
16456074,depok,4878612,400,240,6,5,0,0,0,1,1,2,2,2.0,0,0,SHM,1,30934778,4800000000
16430171,sleman,2315976,68,88,2,2,1,0,0,0,0,1,0,1.0,0,0,SHM,1,2844689,765000000
15091355,depok,4878612,80,224,1,2,0,0,0,0,1,0,5,2.0,0,0,SHM,1,7251167,95000000000
16384885,bandung,3868638,455,465,5,5,0,0,0,0,1,2,2,2.0,0,1,SHM,1,966822,260000000
16485622,surabaya,4725479,470,300,4,4,1,0,0,1,1,3,0,1.0,0,1,SHM,0,25778982,4000000000
8581197,jakarta timur,5067381,119,84,3,2,0,0,0,0,0,0,0,2.0,1,1,Lainnya,1,17078575,2650000000
16323994,tangerang selatan,4670791,150,102,5,4,0,0,0,0,1,2,1,2.0,0,1,SHM,0,14500677,2250000000
12070217,jakarta utara,5067381,240,160,7,5,0,0,0,1,0,0,2,2.0,0,0,SHM,1,43824269,6800000000
14856453,bekasi,5281346,200,120,4,2,0,0,0,0,0,0,1,2.0,0,0,SHM,1,7176796,93000000000
16184472,jakarta timur,5067381,119,84,3,3,0,0,0,0,1,0,1,2.0,0,1,SHM,1,11527496,1000000000
16148675,jakarta pusat,5067381,39,20,3,3,1,0,0,0,0,0,0,2.0,1,1,SHM,1,1758873,473000000
14169689,jakarta timur,5067381,275,185,2,2,0,0,0,0,0,0,0,2.0,0,0,SHM,1,11155642,3000000000
15023427,surabaya,4725479,120,120,4,2,0,0,0,0,1,1,1,1.0,0,0,SHM,1,8055931,1250000000
15200718,tangerang selatan,4670791,400,200,5,5,0,0,0,0,1,0,2,2.0,1,1,SHM,1,31579253,4900000000
16485643,sukoharjo,2215482,120,150,3,2,1,0,0,0,1,1,1,2.0,0,1,HGB,1,17723050,2750000000
16485377,bandung,3868638,275,375,5,5,0,0,0,0,1,2,2,2.0,0,1,HGB,1,44975107,6980000000
16485724,jakarta barat,5067381,195,73,5,5,0,0,0,0,1,1,0,3.0,0,1,SHM,1,16756338,2600000000
16272975,jakarta selatan,5067381,140,84,4,4,0,0,0,0,1,0,2,2.0,0,1,SHM,1,12728372,1980000000
16486116,bandung,3868638,30,55,2,3,0,0,0,0,0,0,0,1.0,0,0,SHM,1,1450067,225000000
14607894,jakarta timur,5067381,74,75,3,3,0,0,0,0,0,0,2,2.0,1,1,Lainnya,0,12245016,1900000000
14775167,bandung,3868638,185,187,4,4,0,0,0,0,0,0,1,2.0,0,0,SHM,1,17723050,2750000000
15312166,jakarta timur,5067381,30,48,2,1,0,0,0,0,1,0,1,1.0,1,1,SHM,1,2577898,400000000
14971949,jakarta pusat,5067381,300,242,4,3,0,0,0,1,0,0,0,1.0,0,1,Lainnya,1,66933850,18000000000
16404950,tangerang,4681138,243,240,5,4,1,0,0,0,0,0,2,2.0,1,1,SHM,1,31607651,8500000000
16485705,bandung,3868638,52,66,2,2,1,0,0,0,1,1,1,3.0,1,0,SHM,1,2229881,346000000
16485527,bandung,3868638,170,133,5,4,0,0,0,0,1,0,2,2.0,0,0,SHM,1,18689762,2900000000
16485463,surabaya,4725479,155,115,4,4,1,0,0,0,1,0,2,2.0,0,1,SHM,1,11278304,1750000000
16436378,bekasi,5281346,228,153,5,5,0,0,0,0,1,0,2,2.0,0,1,SHM,1,12085278,25000000000
16299956,jakarta pusat,5067381,400,380,4,3,0,0,0,1,0,0,0,1.0,0,1,HGB,1,104119322,28000000000
14751097,bekasi,5281346,60,72,2,1,0,0,0,0,0,0,0,1.0,0,0,SHM,1,1859274,500000000
7810050,jakarta selatan,5067381,107,82,3,2,0,0,0,0,1,0,1,2.0,0,0,SHM,1,7753171,8000000000
16478720,tangerang,4681138,200,160,4,4,0,0,0,0,1,1,1,2.0,1,1,Lainnya,1,10040077,2700000000
16485885,bandung,3868638,100,56,2,2,0,0,0,0,1,0,1,2.0,0,0,SHM,1,3222372,500000000
16375690,jakarta selatan,5067381,270,128,4,5,1,0,0,1,1,2,1,3.0,0,1,SHM,1,26745694,4150000000
16276007,jakarta timur,5067381,90,76,3,3,1,0,0,0,1,0,2,2.0,1,1,SHM,1,8924513,4000000000
16485668,bandung,3868638,60,64,3,2,0,0,0,0,1,1,1,2.0,1,0,SHM,1,4395316,682000000
16485584,bandung,3868638,150,166,3,2,0,0,0,0,1,1,1,3.0,1,1,SHM,1,14178440,2200000000
16485583,surabaya,4725479,550,397,7,7,0,0,0,0,1,2,2,2.0,0,0,SHM,0,30934778,4800000000
16244613,jakarta selatan,5067381,600,570,4,3,0,0,0,0,0,0,0,1.0,0,0,Lainnya,1,92963680,25000000000
14247719,jakarta selatan,5067381,500,366,6,5,1,0,0,1,1,1,0,2.0,0,1,SHM,1,96682228,26000000000
15918057,bekasi,5281346,326,192,6,5,0,0,0,0,0,1,1,3.0,1,0,Lainnya,0,21962893,91000000000
16485658,tangerang,4681138,78,70,3,2,0,0,0,0,1,0,1,2.0,0,1,Lainnya,1,12567253,1950000000
16485508,jakarta timur,5067381,90,74,3,2,1,0,0,0,1,1,2,2.0,1,1,SHM,1,7089220,1100000000
16485530,subang,3294485,48,78,2,1,0,0,0,0,1,1,1,1.0,1,0,SHM,1,2900135,450000000
16486096,jakarta pusat,5067381,226,225,6,3,0,0,0,0,1,1,0,2.0,0,0,SHM,1,45113218,7000000000
14755912,bekasi,5281346,128,176,4,2,0,0,0,0,0,0,0,1.0,0,0,SHM,1,7411457,1150000000
16122722,bekasi,5281346,144,90,3,2,0,0,0,0,1,1,1,2.0,0,1,SHM,1,4462257,2000000000
15944131,jakarta selatan,5067381,350,332,5,3,0,0,0,0,1,1,1,2.0,0,1,SHM,1,33095070,9000000000
14826112,jakarta selatan,5067381,250,236,8,7,0,0,0,0,1,1,1,1.0,0,0,SHM,1,25778982,4000000000
16486073,jakarta selatan,5067381,521,426,6,7,1,0,0,0,1,2,2,2.0,0,1,SHM,1,151451520,23500000000
16422432,bandung,3868638,90,153,3,2,0,0,0,0,0,1,1,1.0,0,0,SHM,1,8055931,1250000000
14823279,tangerang,4681138,90,135,3,3,0,0,0,0,0,0,1,2.0,0,0,SHM,1,8552659,3000000000
16482669,bekasi,5281346,110,91,3,3,0,0,0,0,1,0,1,2.0,1,0,SHM,1,5391893,45000000000
15786321,tangerang,4681138,208,204,4,4,0,0,0,0,0,1,2,2.0,0,0,SHM,1,17477172,7000000000
16485844,bandung,3868638,119,213,4,3,1,0,0,0,0,0,2,1.0,0,0,SHM,1,19334236,3000000000
16485485,bogor,4696764,250,180,3,2,0,0,0,0,1,0,1,2.0,0,1,SHM,1,17400812,2700000000
16485369,jakarta selatan,5067381,150,154,4,3,0,0,0,0,0,0,0,1.0,0,0,SHM,0,15467389,2400000000
14869519,jakarta pusat,5067381,290,238,5,5,1,0,0,0,0,4,4,2.0,0,1,SHM,1,29748378,8000000000
14618239,tangerang,4681138,150,235,5,5,0,0,0,0,0,0,0,1.0,0,0,SHM,1,4090402,1000000000
16452809,tangerang selatan,4670791,100,120,3,2,1,0,0,0,1,0,1,1.0,0,1,SHM,1,8366731,25000000000
16485543,tangerang selatan,4670791,110,74,3,3,0,0,0,0,0,0,1,2.0,0,1,SHM,0,9667118,1500000000
16485282,bandung,3868638,500,400,6,5,0,0,0,0,1,2,2,2.0,0,0,SHM,1,80559319,12500000000
14876396,bandung,3868638,150,165,4,2,0,0,0,0,1,0,2,1.0,0,0,SHM,1,10305148,1600000000
16503503,bandung,3868638,160,80,1,2,0,0,0,0,1,0,0,2.0,0,1,SHM,1,4834111,3000000000
16485588,bandung,3868638,200,220,4,3,1,0,0,1,1,1,3,2.0,0,1,SHM,1,22556609,3500000000
15192215,jakarta timur,5067381,92,90,4,4,0,0,0,0,0,0,0,2.0,0,0,SHM,1,7399909,99000000000
16368266,tangerang selatan,4670791,216,204,5,4,1,0,0,1,0,1,2,2.0,0,1,SHM,1,20823864,6000000000
16485771,tangerang,4681138,64,72,3,1,0,0,0,0,1,2,2,1.0,0,1,SHM,0,4414650,685000000
14602660,bandung,3868638,240,200,5,5,1,0,0,0,0,1,2,2.0,0,0,HGB,0,28679117,4450000000
16486097,bekasi,5281346,150,90,3,2,0,0,0,0,0,0,0,1.0,0,0,SHM,1,9022643,1400000000
